CL Cairns,NZ,1991,2006,215,193,25,4950,115,29.46,5874,84.26,4,26,9
Aamer Sohail,PAK,1990,2000,156,155,5,4780,134,31.86,7297,65.5,5,31,10
H Masakadza,ZIM,2001,2017,171,170,4,4715,178,28.4,6421,73.43,4,30,15
CD McMillan,NZ,1997,2007,197,183,16,4707,117,28.18,6198,75.94,3,28,9
MD Crowe,NZ,1982,1995,143,140,18,4704,107,38.55,6476,72.63,4,34,3
MV Boucher,Afr,1998,2011,295,221,57,4686,147,28.57,5528,84.76,1,26,16
MV Boucher,SA,1998,2011,295,221,57,4686,147,28.57,5528,84.76,1,26,16
AJ Stewart,ENG,1989,2003,170,162,14,4677,116,31.6,6841,68.36,4,28,13
Shakib Al Hasan,BDESH,2006,2016,166,158,24,4650,134,34.7,5750,80.86,6,32,8
JP Duminy,SA,2004,2017,172,155,34,4529,150,37.42,5423,83.51,4,24,7
AD Mathews,SL,2008,2016,180,151,39,4492,139,40.1,5288,84.94,1,32,13
SB Styris,NZ,1999,2011,188,161,23,4483,141,32.48,5645,79.41,4,28,9
KP Pietersen,ENG,2004,2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7
KP Pietersen,ICC,2004,2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7
NS Sidhu,INDIA,1987,1998,136,127,8,4413,134,37.08,6329,69.72,6,33,7
CZ Harris,NZ,1990,2004,250,213,62,4379,130,29,6583,66.51,1,16,12
KS Williamson,NZ,2010,2017,111,105,10,4362,145,45.91,5205,83.8,8,29,5
GR Marsh,AUS,1986,1992,117,115,6,4357,126,39.97,7790,55.93,9,22,4
ME Trescothick,ENG,2000,2006,123,122,6,4335,137,37.37,5087,85.21,12,21,13
GA Gooch,ENG,1976,1995,125,122,6,4290,142,36.98,6932,61.88,8,23,4
E Chigumbura,Afr,2004,2016,205,190,24,4229,117,25.47,5231,80.84,2,19,16
E Chigumbura,ZIM,2004,2016,205,190,24,4229,117,25.47,5231,80.84,2,19,16
AJ Strauss,ENG,2003,2011,127,126,8,4205,158,35.63,5195,80.94,6,27,9
Mushfiqur Rahim,BDESH,2006,2016,165,152,23,4118,117,31.92,5390,76.4,4,23,9
K Srikkanth,INDIA,1981,1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11
AJ Lamb,ENG,1982,1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8
RP Arnold,SL,1997,2007,180,155,43,3950,103,35.26,5443,72.57,1,28,7
DA Warner,AUS,2009,2017,93,91,3,3946,179,44.84,4074,96.85,13,16,2
F du Plessis,SA,2011,2017,107,103,13,3943,185,43.81,4525,87.13,8,26,2
AP Gurusinha,SL,1985,1996,147,143,5,3902,117,28.27,6409,60.88,2,22,12
JG Wright,NZ,1978,1992,149,148,1,3891,101,26.46,6804,57.18,1,24,9
DJ Cullinan,SA,1993,2000,138,133,16,3860,124,32.99,5492,70.28,3,23,10
GA Hick,ENG,1991,2001,120,118,15,3846,126,37.33,5191,74.08,5,27,10
HP Tillakaratne,SL,1986,2003,200,168,40,3789,104,29.6,6588,57.51,2,13,10
N Kapil Dev,INDIA,1978,1994,225,198,39,3783,175,23.79,3979,95.07,1,14,13
Wasim Akram,PAK,1984,2003,356,280,55,3717,86,16.52,4208,88.33,0,6,28
RS Kaluwitharana,SL,1990,2004,189,181,14,3711,102,22.22,4776,77.7,2,23,24
Imran Khan,PAK,1974,1992,175,151,40,3709,102,33.41,5105,72.65,1,19,6
PV Simmons,WI,1987,1999,143,138,11,3675,122,28.93,5407,67.96,5,18,14
NV Knight,ENG,1996,2003,100,100,10,3637,125,40.41,5085,71.52,5,25,6
L Klusener,SA,1996,2004,171,137,50,3576,103,41.1,3977,89.91,2,19,13
SM Pollock,Afr,1996,2008,303,205,72,3519,130,26.45,4059,86.69,1,14,20
SM Pollock,ICC,1996,2008,303,205,72,3519,130,26.45,4059,86.69,1,14,20
SM Pollock,SA,1996,2008,303,205,72,3519,130,26.45,4059,86.69,1,14,20
MA Taylor,AUS,1989,1997,113,110,1,3514,105,32.23,5909,59.46,1,28,4
DB Vengsarkar,INDIA,1976,1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7
Mohammad Ashraful,Asia,2001,2013,177,169,13,3468,109,22.23,4947,70.1,3,20,14
Mohammad Ashraful,BDESH,2001,2013,177,169,13,3468,109,22.23,4947,70.1,3,20,14
SO Tikolo,Afr,1996,2014,135,130,12,3428,111,29.05,4524,75.77,3,24,13
SO Tikolo,KENYA,1996,2014,135,130,12,3428,111,29.05,4524,75.77,3,24,13
HH Dippenaar,Afr,1999,2007,107,95,14,3421,125,42.23,5047,67.78,4,26,4
HH Dippenaar,SA,1999,2007,107,95,14,3421,125,42.23,5047,67.78,4,26,4
A Flintoff,ENG,1999,2009,141,122,16,3394,123,32.01,3821,88.82,3,18,9
A Flintoff,ICC,1999,2009,141,122,16,3394,123,32.01,3821,88.82,3,18,9
T Taibu,Afr,2001,2012,150,137,21,3393,107,29.25,5020,67.58,2,22,16
T Taibu,ZIM,2001,2012,150,137,21,3393,107,29.25,5020,67.58,2,22,16
KC Wessels,AUS,1983,1994,109,105,7,3367,107,34.35,6088,55.3,1,26,0
KC Wessels,SA,1983,1994,109,105,7,3367,107,34.35,6088,55.3,1,26,0
JE Root,ENG,2013,2017,83,78,8,3344,125,47.77,3918,85.34,9,20,3
AC Parore,NZ,1992,2002,179,161,32,3314,108,25.68,4867,68.09,1,14,19
Q de Kock,SA,2013,2017,79,79,4,3273,178,43.64,3430,95.42,12,12,2
Moin Khan,PAK,1990,2004,219,183,41,3266,72,23,4017,81.3,0,12,17
AN Cook,ENG,2006,2014,92,92,4,3204,137,36.4,4154,77.13,5,19,7
DI Gower,ENG,1978,1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6
Kamran Akmal,PAK,2002,2013,154,135,14,3168,124,26.18,3779,83.83,5,10,9
KR Rutherford,NZ,1985,1995,121,115,9,3143,108,29.65,4888,64.3,2,18,6
BJ Haddin,AUS,2001,2015,126,115,16,3122,110,31.53,3706,84.24,2,16,2
RJ Shastri,INDIA,1981,1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5
SPD Smith,AUS,2010,2017,95,81,10,3101,164,43.67,3535,87.72,8,16,5
LD Chandimal,SL,2010,2017,122,111,20,3095,111,34.01,4117,75.17,4,20,9
SM Gavaskar,INDIA,1974,1987,108,102,14,3092,103,35.13,4966,62.26,1,27,8
S Dhawan,INDIA,2010,2017,76,75,3,3090,137,42.91,3435,89.95,9,17,2
DS Lehmann,AUS,1996,2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4
GJ Bailey,AUS,2012,2016,90,85,10,3044,156,40.58,3645,83.51,3,22,3
Umar Akmal,PAK,2009,2017,116,105,17,3044,102,34.59,3542,85.94,2,20,8
V Sibanda,Afr,2003,2016,127,126,4,2994,116,24.54,4716,63.48,2,21,14
V Sibanda,ZIM,2003,2016,127,126,4,2994,116,24.54,4716,63.48,2,21,14
DJ Bravo,WI,2004,2014,164,141,24,2968,112,25.36,3606,82.3,2,10,11
HH Streak,Afr,1993,2005,189,159,55,2943,79,28.29,4008,73.42,0,13,6
HH Streak,ZIM,1993,2005,189,159,55,2943,79,28.29,4008,73.42,0,13,6
WW Hinds,WI,1999,2010,119,111,10,2880,127,28.51,4393,65.55,5,14,8
Mahmudullah,BDESH,2007,2016,134,117,30,2858,128,32.85,3835,74.52,2,16,7
