CH Gayle,WI,1999,2015,269,190,7222,5739,163,5/46,35.2,4.76,44.3,3,1
Mushtaq Ahmed,PAK,1989,2003,144,142,7543,5361,161,5/36,33.29,4.26,46.8,3,1
Sir RJ Hadlee,NZ,1973,1990,115,112,6182,3407,158,5/25,21.56,3.3,39.1,1,5
MD Marshall,WI,1980,1992,136,134,7175,4233,157,4/18,26.96,3.53,45.7,6,0
A Nehra,Asia,2001,2011,120,120,5751,4981,157,6/23,31.72,5.19,36.6,5,2
A Nehra,INDIA,2001,2011,120,120,5751,4981,157,6/23,31.72,5.19,36.6,5,2
M Prabhakar,INDIA,1984,1996,130,127,6360,4534,157,5/33,28.87,4.27,40.5,4,2
GB Hogg,AUS,1996,2008,123,113,5564,4188,156,5/32,26.84,4.51,35.6,3,2
TG Southee,NZ,2008,2017,116,114,5813,5212,155,7/33,33.62,5.37,37.5,4,2
SR Tendulkar,INDIA,1989,2012,463,270,8054,6850,154,5/32,44.48,5.1,52.2,4,2
Shoaib Malik,PAK,1999,2017,244,197,7529,5852,153,4/19,38.24,4.66,49.2,1,0
BAW Mendis,SL,2008,2015,87,84,4154,3324,152,6/13,21.86,4.8,27.3,7,3
UDU Chandana,SL,1994,2007,147,136,6142,4818,151,5/61,31.9,4.7,40.6,4,1
RA Jadeja,INDIA,2009,2017,129,125,6434,5237,151,5/36,34.68,4.88,42.6,5,1
SE Bond,NZ,2002,2010,82,80,4295,3070,147,6/19,20.88,4.28,29.2,7,4
J Garner,WI,1977,1987,98,98,5330,2752,146,5/31,18.84,3.09,36.5,2,3
R Ashwin,INDIA,2010,2017,105,104,5733,4695,145,4/25,32.37,4.91,39.5,1,0
IT Botham,ENG,1976,1992,116,115,6271,4139,145,4/31,28.54,3.96,43.2,3,0
TM Odoyo,Afr,1996,2014,136,129,5649,4335,145,4/25,29.89,4.6,38.9,5,0
TM Odoyo,KENYA,1996,2014,136,129,5649,4335,145,4/25,29.89,4.6,38.9,5,0
JN Gillespie,AUS,1996,2005,97,96,5144,3611,142,5/22,25.42,4.21,36.2,3,3
